bundleid;store;app_title;description;dev_name;dev_id;fullprice;versionnumber;osreq;latest_patch;content_rating
com.uselesscreations.hamstergram;apple;hamstergram - make people hamsters instantly and more!;Sure, you've always wanted to turn your friends into HAMSTERS, but you've just never had the right app to do it... UNTIL NOW!Hamstergram instantly turns people into hamsters! Yes, HAMSTERS!LIVE on your camera, or in any photo you select, your friends' heads will be replaced by HAMSTERS!But, that's not all! You can also add an assortment of adorable little hamsters to any photo with ease! Rotate, flip and resize them until they fit perfectly! Improve your family portraits! Make hamsters invade your city! Build a hamster themed birthday card for your frail, hamster-phobic, granny! Be creative!Feeling artistic? You can even draw on your photos, add speech bubbles and captions, and so much more!Once you've created a hamster-ridden masterpiece, you can easily share it on social media! Instantly make your image a square for Instagram, and away you go! Use #hamstergram so we can check out your creations! We'd love to see what you come up with!Hamstergram is an all in one hamster app! It's the only hamster app you've ever need!(You probably don't need a hamster app at all, but wait til you see your family turned into hamsters and try not to laugh. It's hamster-rific FUN!);Useless Creations Pty Ltd;290021485;00;1.2.5;7.0;2015-04-25;4+
com.SiDesign.gerball;apple;Super Gerball iPad Edition;Gerry the gerbil has his eye on some shiny balls!In particular, Gerry loves shiny GOLD balls.In order for Gerry to get his hands on some shiny gold balls, he must spin and roll across 50 levels contained within 5 rooms of Gerry's house!Gerry's house is not just any house though! No, Gerry's house is very dangerous. It contains many traps and hazards that Gerry might bump into, but worst of all - Gerry might fall off the edge of a level, and SMASH his own ball into a million tiny pieces!So what are you waiting for - hurry and help Gerry collect his shiny balls!Game features:* Amazing 3D graphics - push your iPhone and iPad to the max and see what it can do!* 60fps - silky smooth gameplay!* Full 3D ball physics - playing with a gerbil has never been so much fun!* 50 levels - from the weird and wonderful to the twisted and tormenting!* 5 stages - starting from the beautiful green garden and ending with the spooky...???* 5 a-maze-ing levels - will you reach the end??* 3 unique endings - play well and watch all three wonderful endings!* 51 online high scores tables - are you the best in the world?* 5 player profiles - all the family can play!;Si Design;364380834;099;1.33;8.0;2018-02-12;4+
com.fullofsubstance.petsescape;apple;Pets Escape From The Pet-Shop - Learn Colors The Balloon Popping Fun Way;******** SPECIAL!! ******** Find the Secret Prize to unlock all Animals!! ********* Play this game together with your children and let them learn colors through repetitive flashing of the words.Not to forget the children could also hear the pronunciation of the words.;Full Of Substance LLP;574175186;00;1.0.1;6.0;2015-04-11;4+
com.bowiejazz.KidsColoringBook54;apple;Kids Coloring Book - Cute Cartoon Dinosaur Miyashita;Games Kids Coloring Book There are a lot of 24 cute cartoon style as boys. And girls can drain. Enhance their skills in creative design. To increase children's imagination as well.;Jintana Intawong;1064030397;00;1.0;8.0;2016-06-16;4+
com.dekovir.tiltmaster;apple;Tiltmasters;Swipe your finger to tilt the platform and roll the ball through challenging levels. Try not to fall off and become a tilt master!Collect gems to play with new balls!One finger easy-to-learn controls and addictive gameplay mechanics.;Dekovir, Inc.;393062490;00;1.09;8.0;2019-07-25;4+
com.jandusoft.flashball;apple;FlashBall in Sugar Land;“Flash”, the hamster,  has lost their delicious Donuts, help “Flash” to find them.No special skills are needed, everything this game is asking for is a thoughtful mind and fast fingers.Prepare for a near impossible challenge in Sugar Land. Push your skills to the limit as you jump and dodge your way through sweet levels, get into this delicious world.Highlighted Features:● Play with “Flash”, the Cute Hamster● Innovative gameplay mechanics● Challenge yourself with the near impossible Levels!● Over 100 levels.● Gave “Flash” help with awesome Boosters.● Score on big bonuses.● Enchanting animations, music and sound effects!● Free & easy to play, challenging to master!How to Play:● Tap anywhere on the screen to teleport “Flash”.● Dodge traps and avoid falling.● Unlock special boosters to help you pass those tricky levels.● The more donuts you collect through the level, the higher the score will be. ● Find the Big Donuts and finish the levels with 3 Donuts collected. Will you be able to collect the 3 Donuts on every level?● Flash Ball in SugarLand is completely free to play but some in-game items may require payment.Music composed by Marta FuentesFollow us in our social channels:Facebook:https://www.facebook.com/JanduSoft/Twitter:https://twitter.com/JanduSoftYoutube:https://www.youtube.com/c/JandusoftWeb:http://www.jandusoft.com;JanduSoft S.L.;428832521;00;1.1.0;8.1;2017-04-20;4+
com.microwave.hamsterhop;apple;Hamster Hop;A hamster game like no other!Hop in your hamster ball (or square) to get as many stars as possible... But it isn't that simple. Dodge spikes, use fans and don't fall off!Won a load of stars? You can use your stars to unlock new hamster balls and textures!How high can you hop?;Adam Carmichael;1009063250;00;1.01;7.0;2018-02-09;4+
com.bowiejazz.KidsColoringBook43;apple;Kids Coloring Book - Cute Cartoon Ayukawa;Games Kids Coloring Book There are a lot of 24 cute cartoon style as boys. And girls can drain. Enhance their skills in creative design. To increase children's imagination as well.;Jintana Intawong;1064030397;00;1.0;7;2016-06-01;4+
com.reinforcementproductionsllc.gravitygerbil;apple;Gravity Gerbil;Gravity Gerbil is a simple and addictive mobile game for anyone, anytime! Your benevolent doctor has bestowed upon you the power to control gravity. What would you do with control over a fundamental force? If your answer is navigate deadly obstacle courses, run errands, and cheat at carnival tents, this is the game for you!-Finally, a game that shows the lighter side of animal testing!-Easy to play, just tilt your phone the direction you want to go.-Ad-free and supported with free content updates. Pay once and you get everything forever.-Over 30 handcrafted levels at launch, with many more planned for the future.-Complete courses in Puzzle Mode, or test your endurance in Infinity Mode.;Reinforcement Productions;1301493094;199;10;6.0;2018-02-20;9+
com.vientran.chubbyhamster;apple;Chubby Hamster - Cute stickers for iMessage;What better way to say anything than with the Chubby Hamster stickers pack! It has 40 high quality stickers with emotions ranging from happy to grumpy and everything in between. No matter what the conversation is about there’s a sticker here to take that conversation to the next level.FEATURES:• Pack of 40 stickers.• Buy once, FOREVER fun: You'll have all you need, No additional pay, NO In-app purchase!• Easy to use! Tap the sticker you want, DRAG & DROP the sticker into your message.• All images have been optimized for retina display and to perfectly fit into you SMS bubbles.;Vien Tran;841914898;099;1.0;10.0;2017-04-07;4+
com.vientran.fufuthehamster;apple;Fufu the Hamster - Cute stickers for iMessage;What better way to say anything than with the Fufu stickers pack! It has 40 high quality stickers with emotions ranging from happy to grumpy and everything in between. No matter what the conversation is about there’s a sticker here to take that conversation to the next level.FEATURES:• Pack of 40 stickers.• Buy once, FOREVER fun: You'll have all you need, No additional pay, NO In-app purchase!• Easy to use! Tap the sticker you want, DRAG & DROP the sticker into your message.• All images have been optimized for retina display and to perfectly fit into you SMS bubbles.;Vien Tran;841914898;099;1.0;10.0;2017-03-14;4+
com.vientran.sassyhamster;apple;Sassy Hamster - Cute stickers for iMessage;What better way to say anything than with the Sassy Hamster stickers pack! It has 40 high quality stickers with emotions ranging from happy to grumpy and everything in between. No matter what the conversation is about there's a sticker here to take that conversation to the next level.FEATURES:• Pack of 40 stickers.• Buy once, FOREVER fun: You'll have all you need, No additional pay, NO In-app purchase!• Easy to use! Tap the sticker you want, DRAG & DROP the sticker into your message.• All images have been optimized for retina display and to perfectly fit into you SMS bubbles.;Vien Tran;841914898;099;1.0;10.0;2017-04-11;4+
com.galaticdroids.tiltRollPetsPro;apple;Tilt Roll Pets Pro;Tilt Roll Pets Pro, No ads.Dexterity puzzle, tilt you phone to roll ball bearings into holes. This is the pets edition with pictures of cute puppies, kittens, bunnies, etc.This is a modern take on those old fashion dexterity games, you know the ones - you have to tilt your phone and get the little ball bearings into the holes.Easy right, well some are but others are extremely challenging. Stars are awarded for each level completed, the quicker you get the balls in the holes the more stars you get.There are easy and hard levels. On the easy setting the balls will stick in the holes so can't come out again. On the hard setting you'll find the little ball bearings can come back out of the holes if you tilt your phones too much.Either way, this is a simple little game to pass a few minutes while waiting for a bus or your favourite TV program to start.Download Tilt Roll Pets now.;Galatic Droids;806182439;099;1.0;6.0;2016-10-30;4+
